line_number,Incident_ID,Incident_Date,year,State,City_Or_County,Address,Number_Killed,Number_Injured,Operations
2,1290435, December 31,2018, Nebraska, Omaha, 2500 block of Emmet St,0,0," View Incident
View Source"
3,1291253, December 31,2018, West Virginia, Worthington, Michael Hill Rd,0,0," View Incident
View Source"
4,1289028, December 31,2018, Oklahoma, Oklahoma City, N Rockwell Ave and W Wilshire Blvd,0,1," View Incident
View Source"
5,1290413, December 31,2018, Nevada, Las Vegas, N E St and Jefferson Ave,0,1," View Incident
View Source"
6,1290400, December 31,2018, Vermont, Burlington, N Champlain St and Manhattan Dr,0,0," View Incident
View Source"
7,1295009, December 31,2018, Missouri, Saint Louis (Overland), N/A,0,0," View Incident
View Source"
8,1291926, December 31,2018, North Carolina, Durham, Hill St,0,1," View Incident
View Source"
9,1290378, December 31,2018, Massachusetts, Worcester, Dorchester St and Cutler St,0,0," View Incident
View Source"
10,1290368, December 31,2018, Texas, Houston, Kashmere St and Collingsworth St,0,0," View Incident
View Source"
11,1290364, December 31,2018, Massachusetts, Boston, Harrison Ave and Oxford Pl,0,0," View Incident
View Source"
12,1289364, December 31,2018, Indiana, Evansville, West Columbia St,0,0," View Incident
View Source"
13,1289362, December 31,2018, New York, New York (Manhattan), 110 Bedford St,1,0," View Incident
View Source"
14,1292848, December 31,2018, Kansas, Olathe, 12051 Bass Pro Dr,0,0," View Incident
View Source"
15,1289794, December 31,2018, Georgia, Stone Mountain, 5345 Memorial Dr,1,0," View Incident
View Source"
16,1291834, December 31,2018, Florida, Fort Pierce, 2400 block of N 42nd St,0,0," View Incident
View Source"
17,1290146, December 31,2018, Texas, Fort Worth, 5430 Miller Ave,0,0," View Incident
View Source"
18,1290313, December 31,2018, Kansas, Goessel, 301 E Commercial St,0,0," View Incident
View Source"
19,1288927, December 31,2018, Colorado, Longmont, 2211 Pratt St,1,0," View Incident
View Source"
20,1291156, December 31,2018, Texas, Mexia, 500 block of W Commerce St,0,0," View Incident
View Source"
21,1290298, December 31,2018, Ohio, Dayton, 2500 block of Home Ave,0,1," View Incident
View Source"
22,1289318, December 31,2018, Massachusetts, Methuen, Lowell St and N Lowell St,0,0," View Incident
View Source"
23,1290261, December 31,2018, Kentucky, Owensboro, 700 block of Elm St,0,0," View Incident
View Source"
24,1290285, December 31,2018, Texas, Houston, 12101 Fondren Rd,1,0," View Incident
View Source"
25,1290274, December 31,2018, Kansas, Topeka, SW 17th St and SW Westport Dr,0,0," View Incident
View Source"
26,1290266, December 31,2018, Louisiana, Baton Rouge, 6300 block of Airline Hwy,0,0," View Incident
View Source"
28,1290435, December 31,2018, Nebraska, Omaha, 2500 block of Emmet St,0,0," View Incident
View Source"
29,1291253, December 31,2018, West Virginia, Worthington, Michael Hill Rd,0,0," View Incident
View Source"
30,1289028, December 31,2018, Oklahoma, Oklahoma City, N Rockwell Ave and W Wilshire Blvd,0,1," View Incident
View Source"
31,1290413, December 31,2018, Nevada, Las Vegas, N E St and Jefferson Ave,0,1," View Incident
View Source"
32,1290400, December 31,2018, Vermont, Burlington, N Champlain St and Manhattan Dr,0,0," View Incident
View Source"
33,1295009, December 31,2018, Missouri, Saint Louis (Overland), N/A,0,0," View Incident
View Source"
34,1291926, December 31,2018, North Carolina, Durham, Hill St,0,1," View Incident
View Source"
35,1290378, December 31,2018, Massachusetts, Worcester, Dorchester St and Cutler St,0,0," View Incident
View Source"
36,1290368, December 31,2018, Texas, Houston, Kashmere St and Collingsworth St,0,0," View Incident
View Source"
37,1290364, December 31,2018, Massachusetts, Boston, Harrison Ave and Oxford Pl,0,0," View Incident
View Source"
38,1289364, December 31,2018, Indiana, Evansville, West Columbia St,0,0," View Incident
View Source"
39,1289362, December 31,2018, New York, New York (Manhattan), 110 Bedford St,1,0," View Incident
View Source"
40,1292848, December 31,2018, Kansas, Olathe, 12051 Bass Pro Dr,0,0," View Incident
View Source"
41,1289794, December 31,2018, Georgia, Stone Mountain, 5345 Memorial Dr,1,0," View Incident
View Source"
42,1291834, December 31,2018, Florida, Fort Pierce, 2400 block of N 42nd St,0,0," View Incident
View Source"
43,1290146, December 31,2018, Texas, Fort Worth, 5430 Miller Ave,0,0," View Incident
View Source"
44,1290313, December 31,2018, Kansas, Goessel, 301 E Commercial St,0,0," View Incident
View Source"
45,1288927, December 31,2018, Colorado, Longmont, 2211 Pratt St,1,0," View Incident
View Source"
46,1291156, December 31,2018, Texas, Mexia, 500 block of W Commerce St,0,0," View Incident
View Source"
47,1290298, December 31,2018, Ohio, Dayton, 2500 block of Home Ave,0,1," View Incident
View Source"
48,1289318, December 31,2018, Massachusetts, Methuen, Lowell St and N Lowell St,0,0," View Incident
View Source"
49,1290261, December 31,2018, Kentucky, Owensboro, 700 block of Elm St,0,0," View Incident
View Source"
50,1290285, December 31,2018, Texas, Houston, 12101 Fondren Rd,1,0," View Incident
View Source"
51,1290274, December 31,2018, Kansas, Topeka, SW 17th St and SW Westport Dr,0,0," View Incident
View Source"
52,1290266, December 31,2018, Louisiana, Baton Rouge, 6300 block of Airline Hwy,0,0," View Incident
View Source"
